"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","bathrooms_text","accommodates","price","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
3942,0,0,1,1,1,"Manhattan",40.73282,-73.99915,1,3,225,30,0,4.82,0,0.28,1,0,0,0,0,0,1,0,0,5.41610040220442
2784,4,1,9,1,1,"Brooklyn",40.60005,-73.95589,1,3,42,1,351,4.86,1,2.41,0,0,0,1,0,1,0,0,0,3.73766961828337
4349,2,1,1,1,1,"Brooklyn",40.67781,-73.97262,1,2,128,3,177,4.89,0,2.4,1,0,0,0,0,1,0,0,0,4.85203026391962
3840,0,0,0,1,1,"Manhattan",40.72733,-73.98682,1,3,149,30,0,5,0,0.01,1,0,0,0,0,0,1,0,0,5.00394630594546
3039,0,0,1,1,1,"Brooklyn",40.62054,-73.99828,1,1,60,30,0,4.5,0,0.07,1,0,0,0,0,1,0,0,0,4.0943445622221
4234,3,1,4,1,1,"Brooklyn",40.6498,-74.00204,0,2,50,30,306,4.54,1,0.31,0,0,1,0,0,1,0,0,0,3.91202300542815
2795,0,0,0,1,1,"Manhattan",40.8024,-73.95135,1,2,90,30,0,5,1,0.3,0,0,1,0,0,0,1,0,0,4.49980967033027
3689,3,1,2,1,1,"Brooklyn",40.67026,-73.95514,1,4,325,3,357,4.75,0,0.46,1,0,0,0,0,1,0,0,0,5.78382518232974
2787,4,1,1,1,0,"Brooklyn",40.66714,-73.9308,1,6,249,3,232,4.8,0,1.7,1,0,0,0,0,1,0,0,0,5.51745289646471
2788,1,0,5,1,1,"Brooklyn",40.62965,-73.92573,2,2,145,30,365,3.6,0,0.06,0,0,1,0,0,1,0,0,0,4.97673374242057
3624,0,0,1,1,1,"Manhattan",40.73706,-73.99596,1,3,150,30,0,4.93,0,0.2,1,0,0,0,0,0,1,0,0,5.01063529409626
