"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","bathrooms_text","accommodates","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
4901,3,0,2,1,1,1,2,30,276,4.82,0,1.18,1,0,0,0,0,1,0,0,0,4.59511985013459
5192,4,0,1,1,1,1,2,30,326,4.55,0,0.4,0,0,1,0,0,1,0,0,0,4.24849524204936
4889,3,0,2,1,1,0.5,1,2,235,4.62,0,2.43,0,0,1,0,0,0,1,0,0,4.45434729625351
4888,4,1,1,1,1,1,3,2,3,4.6,0,0.29,1,0,0,0,0,0,1,0,0,5.43372200355424
4887,2,0,1,1,1,1,1,7,123,4.85,0,0.33,0,0,1,0,0,1,0,0,0,4.38202663467388
4887,2,0,2,1,1,2,4,30,61,5,0,0.07,1,0,0,0,0,0,1,0,0,5.99146454710798
4883,2,0,4,1,1,1,6,30,165,4.68,0,0.56,1,0,0,0,0,0,1,0,0,5.32787616878958
4876,2,0,2,1,1,2,8,30,3,4.93,0,1.08,1,0,0,0,0,1,0,0,0,4.9416424226093
4876,3,0,2,1,0,1,1,21,216,4.6,0,0.19,0,0,1,0,0,1,0,0,0,4.00733318523247
4873,4,1,2,1,1,1,2,1,224,4.77,0,4.28,0,0,1,0,0,0,1,0,0,4.92725368515721
4872,3,0,2,1,1,1,2,1,364,4.76,0,1.62,1,0,0,0,0,1,0,0,0,6.21460809842219
5268,3,0,3,1,1,1,1,1,37,4.68,0,1.26,0,0,1,0,0,0,1,0,0,5.12989871492307
4866,2,0,1,1,1,2,8,5,70,4.83,0,1.63,1,0,0,0,0,0,1,0,0,5.52146091786225
4865,3,0,1,1,1,1,2,30,61,4.8,0,0.36,1,0,0,0,0,0,1,0,0,5.39362754635236
4854,3,0,2,1,1,1,2,2,318,4.89,0,0.94,0,0,1,0,0,0,1,0,0,4.31748811353631
4849,4,0,1,1,1,1,2,30,365,4.41,0,1.14,0,0,1,0,0,0,1,0,0,5.29831736654804
4841,4,1,1,1,1,1.5,3,4,271,4.95,1,1.55,0,0,1,0,0,0,1,0,0,5.16478597392351
4846,0,0,1,1,0,1,2,30,0,5,0,0.01,0,0,1,0,0,0,1,0,0,4.55387689160054
4837,0,0,2,1,1,1,2,180,276,4.71,0,0.4,1,0,0,0,0,0,1,0,0,4.70048036579242
4832,1,0,1,1,1,1,2,30,191,4.49,0,0.41,1,0,0,0,0,1,0,0,0,4.65396035015752
4821,0,0,1,1,1,1,2,30,0,4.05,0,1.18,1,0,0,0,0,1,0,0,0,4.38202663467388
4954,2,0,1,1,1,1,2,30,157,4.69,0,0.57,0,0,1,0,0,0,1,0,0,4.47733681447821
4812,0,0,1,1,1,1,1,30,0,5,0,0.07,0,0,1,0,0,0,1,0,0,4.59511985013459
4810,1,0,2,1,1,1,2,30,186,4.97,0,0.25,0,0,1,0,0,0,1,0,0,4.44265125649032
5141,2,0,5,1,1,1,2,3,343,4.69,0,1.91,1,0,0,0,0,1,0,0,0,5.24174701505964
4787,3,0,2,1,1,2,4,7,228,4.45,0,0.45,1,0,0,0,0,0,1,0,0,6.42971947803914
4779,4,1,1,1,1,3,5,30,207,4.82,0,0.63,1,0,0,0,0,1,0,0,0,5.39362754635236
4763,0,0,1,1,1,1,4,30,0,4.62,0,0.27,1,0,0,0,0,1,0,0,0,4.4188406077966
4759,4,0,1,1,1,1,2,1,0,4.75,0,1.35,0,0,1,0,0,0,1,0,0,4.60517018598809
4889,3,0,2,1,1,0.5,1,2,259,4.5,0,3.05,0,0,1,0,0,0,1,0,0,4.36944785246702
4954,4,1,2,1,1,1,2,30,35,4.93,1,3.28,1,0,0,0,0,1,0,0,0,4.49980967033027
4742,4,0,1,1,1,1.5,4,30,286,4.6,0,0.21,1,0,0,0,0,0,1,0,0,5.41610040220442
4735,4,1,1,1,1,1,6,2,293,4.77,0,1.67,1,0,0,0,0,0,1,0,0,5.19295685089021
4734,0,0,1,1,1,1,3,30,0,4.85,0,0.18,1,0,0,0,0,0,1,0,0,4.60517018598809
4728,4,0,1,1,0,1,4,30,155,4.95,0,0.14,1,0,0,0,0,0,1,0,0,5.01063529409626
4980,3,0,5,1,1,1,2,30,281,4.69,0,0.49,0,0,1,0,0,1,0,0,0,4.38202663467388
4723,4,1,1,1,1,1,2,3,243,4.93,1,2.15,0,0,1,0,0,1,0,0,0,4.48863636973214
4725,3,0,1,1,1,1,3,30,233,4.76,0,0.81,1,0,0,0,0,0,1,0,0,5.22035582507832
4739,4,1,3,1,1,1,1,28,329,4.87,0,0.47,0,0,1,0,0,0,1,0,0,5.10594547390058
4710,0,0,1,1,1,1,2,30,0,4.71,0,0.23,1,0,0,0,0,0,1,0,0,4.78749174278205
4708,0,0,1,1,1,1,2,30,0,4.33,0,0.03,0,0,1,0,0,1,0,0,0,4.38202663467388
4707,4,0,3,1,1,1,2,2,314,4.49,1,3.47,0,0,1,0,0,1,0,0,0,4.56434819146784
4740,3,0,3,1,1,1.5,3,30,288,4.84,0,0.64,0,0,1,0,0,1,0,0,0,4.93447393313069
4703,4,0,1,1,0,1,1,14,0,5,0,0.03,1,0,0,0,0,0,1,0,0,5.07517381523383
4698,2,1,1,1,1,1,2,4,228,4.96,0,1.93,1,0,0,0,0,1,0,0,0,5.45958551414416
4721,0,0,11,1,1,1,2,120,67,5,0,0.15,1,0,0,0,0,0,1,0,0,4.93447393313069
4676,2,0,1,1,1,1,2,7,67,4.72,0,0.34,0,0,1,0,0,0,1,0,0,4.33073334028633
4675,0,1,1,1,1,1,2,14,152,4.91,0,0.98,1,0,0,0,0,0,1,0,0,5.16478597392351
4674,2,0,1,1,0,1,2,6,126,4.41,0,0.19,1,0,0,0,0,1,0,0,0,4.60517018598809
4667,3,0,1,1,1,2.5,13,3,233,4.7,0,0.27,1,0,0,0,0,1,0,0,0,6.68461172766793
4664,4,1,2,1,1,1,2,5,38,4.8,0,1.67,0,0,1,0,0,1,0,0,0,4.44265125649032
4663,2,0,2,1,1,0,2,30,275,4.86,0,0.31,0,0,1,0,0,0,1,0,0,4.93447393313069
4753,2,0,1,1,1,1,1,30,181,4.91,0,0.2,0,0,1,0,0,0,0,1,0,4.35670882668959
4662,0,0,2,1,1,1,4,30,0,4.71,0,2.35,1,0,0,0,0,1,0,0,0,4.90527477843843
4651,1,0,1,1,1,2,4,5,218,4.77,0,0.47,1,0,0,0,0,0,1,0,0,6.30991827822652
5141,2,0,5,1,1,1,2,4,313,4.62,0,1.27,1,0,0,0,0,1,0,0,0,5.16478597392351
4650,2,0,1,1,1,1,2,2,266,4.8,0,1.3,0,0,1,0,0,0,0,0,1,4.24849524204936
4648,0,1,1,1,1,1,2,30,123,5,0,0.07,1,0,0,0,0,0,1,0,0,5.22035582507832
4645,4,0,2,1,1,1,6,30,277,4.85,0,0.41,1,0,0,0,0,0,1,0,0,5.55682806169954
4654,4,0,2,1,1,1,2,30,335,4.69,0,1.63,0,0,1,0,0,1,0,0,0,4.70048036579242
4643,1,0,3,1,1,1,2,30,132,4.75,0,0.61,1,0,0,0,0,0,1,0,0,5.13579843705026
4638,3,0,1,1,1,1,2,30,122,4.64,0,0.88,1,0,0,0,0,1,0,0,0,4.64439089914137
4634,0,0,1,1,0,1,4,30,0,4.78,0,0.4,1,0,0,0,0,0,1,0,0,4.60517018598809
4857,4,1,3,1,1,1.5,2,2,153,4.9,1,2.22,0,0,1,0,0,1,0,0,0,4.17438726989564
4632,4,1,5,1,1,2.5,16,30,358,4.42,0,0.1,1,0,0,0,0,0,0,1,0,5.97888576490112
4632,0,0,1,1,0,1,1,30,83,0,1,0,0,0,1,0,1,0,0,0,0,4.0943445622221
4290,3,0,0,1,1,1,2,31,145,4.66,0,0.96,0,0,1,0,0,0,1,0,0,4.31748811353631
4626,4,0,0,1,1,1,2,3,267,4.7,0,0.41,0,0,1,0,0,1,0,0,0,4.78749174278205
4980,3,0,5,1,1,2,3,30,155,4.36,0,0.17,0,0,1,0,0,1,0,0,0,4.49980967033027
5157,3,0,3,1,1,1,4,5,265,4.83,0,1.52,1,0,0,0,0,1,0,0,0,5.08759633523238
4602,0,0,2,1,1,1,1,14,0,0,0,0,0,0,1,0,0,0,1,0,0,4.86753445045558
5018,3,0,4,1,1,1,2,30,328,4.42,0,0.37,0,0,1,0,0,0,0,1,0,4.17438726989564
4594,4,1,1,1,1,1,4,4,38,4.97,0,0.22,1,0,0,0,0,0,0,1,0,5.01063529409626
4632,4,1,5,1,1,1,4,30,339,4.34,0,0.23,1,0,0,0,0,0,0,1,0,4.67282883446191
4632,4,1,5,1,1,1,7,30,358,4,0,0.05,1,0,0,0,0,0,0,1,0,5.26269018890489
4632,4,1,5,1,1,2,12,30,317,4.71,0,0.12,1,0,0,0,0,0,0,1,0,5.85793315448346
4583,1,0,1,1,1,1,2,30,365,0,0,0,0,0,1,0,0,0,1,0,0,5.29831736654804
4626,4,0,0,1,1,2,2,2,310,4.71,0,0.89,0,0,1,0,0,1,0,0,0,4.38202663467388
5018,3,0,4,1,1,1,2,30,0,4.35,0,0.44,0,0,1,0,0,0,0,1,0,4.17438726989564
4578,4,1,1,1,1,1,2,5,174,4.86,1,1.82,0,0,1,0,0,0,1,0,0,4.60517018598809
4716,2,0,0,1,1,1,4,3,36,5,0,0.14,1,0,0,0,0,1,0,0,0,5.45958551414416
4664,4,1,2,1,1,1,1,5,32,4.82,0,0.86,0,0,1,0,0,1,0,0,0,4.55387689160054
4570,0,0,1,1,1,1,1,3,0,4.79,1,0.27,0,0,1,0,0,1,0,0,0,4.44265125649032
4581,3,0,5,1,1,1,2,3,43,4.65,0,1.62,0,0,1,0,0,0,1,0,0,4.30406509320417
4562,4,1,14,1,0,1,2,3,290,4.83,0,0.62,1,0,0,0,0,0,0,1,0,5.01063529409626
4558,4,1,1,1,1,1,4,3,4,4.82,0,0.88,1,0,0,0,0,0,1,0,0,5.52146091786225
4557,3,1,1,1,1,1,2,2,160,4.98,0,1.2,1,0,0,0,0,0,1,0,0,5.79909265446053
4556,4,1,2,1,1,1,2,3,178,4.87,0,2.31,1,0,0,0,0,0,1,0,0,5.07517381523383
4554,4,1,2,1,1,1.5,2,1,178,4.7,0,4.47,0,0,1,0,0,0,1,0,0,4.0943445622221
4554,0,0,1,1,0,1,4,2,246,4.72,0,0.21,0,0,1,0,0,1,0,0,0,4.93447393313069
4547,3,0,1,1,1,1,2,30,343,4.65,0,0.41,1,0,0,0,0,0,1,0,0,5.19295685089021
4632,4,1,5,1,1,1,9,30,358,5,0,0.02,1,0,0,0,0,0,0,1,0,5.27811465923052
4650,2,1,0,1,1,1,5,7,7,4.78,0,0.34,1,0,0,0,0,0,1,0,0,5.7037824746562
4540,4,0,1,1,1,1,6,30,295,4.38,1,0.83,1,0,0,0,0,0,1,0,0,6.41017488196617
4721,3,0,0,1,1,1,2,45,18,4.79,0,0.27,1,0,0,0,0,0,1,0,0,5.27299955856375
4776,0,0,0,1,1,1,3,30,0,4.88,0,0.07,1,0,0,0,0,0,1,0,0,5.52146091786225
4581,3,0,5,1,1,1.5,2,3,32,4.72,0,1.63,0,0,1,0,0,0,1,0,0,4.70953020131233
4588,0,0,1,1,0,1,2,30,0,5,0,0.07,0,0,1,0,0,0,1,0,0,4.8283137373023
4537,4,1,3,1,1,1,6,30,314,4.53,1,1.17,1,0,0,0,0,0,1,0,0,5.07517381523383
4537,0,0,1,1,1,1,6,30,0,5,0,0.03,1,0,0,0,0,0,1,0,0,5.35185813347607
5047,0,0,1,1,0,1,3,200,0,4.23,0,0.67,1,0,0,0,0,0,1,0,0,4.70048036579242
4528,2,0,1,1,1,1,2,30,153,4.82,0,0.46,1,0,0,0,0,0,1,0,0,4.86753445045558
4526,3,1,0,1,1,1,3,4,213,4.3,0,1.48,1,0,0,0,0,0,1,0,0,5.16478597392351
4526,3,1,3,1,1,2,4,3,54,4.78,0,1.07,1,0,0,0,0,1,0,0,0,5.65248918026865
4535,4,0,7,1,1,1,3,30,16,0,0,0,0,0,1,0,1,0,0,0,0,4.48863636973214
4522,3,1,5,1,0,1,2,2,335,4.92,0,0.46,1,0,0,0,1,0,0,0,0,4.61512051684126
4662,0,0,2,1,1,1,2,30,0,4.59,0,1.93,1,0,0,0,0,1,0,0,0,4.90527477843843
4526,3,1,0,1,1,2,4,7,63,4.37,0,1.1,1,0,0,0,0,0,1,0,0,5.96614673912369
4520,2,0,6,1,1,1,1,30,308,4.92,0,0.1,0,0,1,0,0,1,0,0,0,4.00733318523247
4693,0,0,1,1,1,1,2,30,0,0,0,0,1,0,0,0,0,0,1,0,0,5.29831736654804
4519,4,0,1,1,1,1,2,3,246,4.79,0,2.21,0,0,1,0,0,1,0,0,0,4.60517018598809
4518,0,0,1,1,1,1,2,30,242,4.82,1,0.32,0,0,1,0,0,1,0,0,0,4.31748811353631
4518,3,1,2,1,0,1,3,30,274,4.78,0,1.83,0,0,1,0,0,1,0,0,0,4.0943445622221
4934,2,1,2,1,0,1,2,7,31,4.57,0,1.67,0,0,1,0,0,0,1,0,0,4.31748811353631
4513,0,0,1,1,0,1.5,3,5,68,4.92,0,0.48,0,0,1,0,0,1,0,0,0,4.31748811353631
4517,4,1,3,1,1,1,7,1,345,5,0,0.05,1,0,0,0,0,0,1,0,0,5.98896141688986
4511,0,0,1,1,1,1,2,10,0,4.67,0,0.41,1,0,0,0,0,1,0,0,0,4.44265125649032
4511,3,0,0,1,1,1,3,30,58,4.52,0,1.16,1,0,0,0,0,1,0,0,0,4.66343909411207
4509,0,0,1,1,1,1,1,3,149,4.9,0,0.18,0,0,1,0,0,0,1,0,0,4.31748811353631
4508,0,0,1,1,0,1,4,30,233,4.87,0,0.55,1,0,0,0,0,1,0,0,0,5.24702407216049
4506,3,1,2,1,1,1,2,3,71,4.92,0,1.58,1,0,0,0,0,0,1,0,0,5.91889385427315
4517,4,1,3,1,1,1,7,1,345,4.86,0,1.4,1,0,0,0,0,0,1,0,0,6.0913098820777
4501,2,1,2,1,1,1,4,2,190,4.82,0,1.93,1,0,0,0,0,1,0,0,0,5.2257466737132
4499,4,1,2,1,1,1,3,2,221,4.99,0,1.47,1,0,0,0,0,1,0,0,0,5.34710753071747
4771,4,0,1,1,1,1,2,28,35,4.85,1,0.35,1,0,0,0,0,0,1,0,0,4.74493212836325
4498,2,1,1,1,1,1,4,30,61,4.89,0,0.54,1,0,0,0,0,1,0,0,0,4.86753445045558
4495,0,0,1,1,1,1,2,30,95,4.79,0,0.77,0,0,1,0,0,0,1,0,0,4.80402104473326
4857,0,0,0,1,1,0,1,30,0,0,0,0,0,0,1,0,0,0,0,1,0,4.00733318523247
4486,2,0,1,1,1,1,2,15,243,4.97,0,0.26,1,0,0,0,0,0,1,0,0,5.37063802812766
4485,3,0,1,1,1,1,2,30,157,4.86,0,0.07,0,0,1,0,0,1,0,0,0,4.60517018598809
4549,3,1,2,1,1,1,6,2,9,4.86,0,1.66,1,0,0,0,0,0,1,0,0,6.39024066706535
4478,2,0,2,1,1,1,2,30,27,4.84,0,0.47,1,0,0,0,0,0,1,0,0,5.07517381523383
4680,3,0,1,1,1,1,2,3,256,4.77,0,0.48,0,0,1,0,0,1,0,0,0,4.60517018598809
4471,4,0,2,1,1,1,5,4,313,4.97,1,0.33,1,0,0,0,0,0,1,0,0,5.80513496891649
4470,3,0,1,1,1,1,2,28,1,4.83,0,0.42,1,0,0,0,0,0,1,0,0,5.01063529409626
4469,3,1,2,1,1,1,2,30,91,4.83,0,0.36,1,0,0,0,0,0,1,0,0,5.29831736654804
4469,0,0,2,1,1,1,4,1,0,4.98,0,0.37,1,0,0,0,0,1,0,0,0,5.43372200355424
4466,4,0,2,1,1,1,2,30,186,4.46,0,0.28,1,0,0,0,1,0,0,0,0,4.49980967033027
4464,0,0,1,1,1,1,2,30,0,4.51,0,0.28,1,0,0,0,0,0,1,0,0,4.70048036579242
4487,0,0,1,1,1,1,1,10,0,4.52,0,0.3,0,0,1,0,0,1,0,0,0,4.44265125649032
4496,1,0,2,1,1,1,3,30,309,4.03,0,0.28,1,0,0,0,0,0,1,0,0,4.38202663467388
4451,0,0,3,1,0,0,5,30,123,4.84,0,0.38,1,0,0,0,0,0,1,0,0,5.70044357339069
4570,4,1,1,1,1,1,3,7,258,4.67,0,1.76,1,0,0,0,0,0,0,1,0,4.77912349311153
4449,2,0,0,0,0,1,5,30,63,4.67,0,0.35,1,0,0,0,0,0,1,0,0,5.00394630594546
4449,0,0,1,1,0,1,3,30,0,4.67,0,0.02,1,0,0,0,0,1,0,0,0,4.31748811353631
4445,2,0,1,1,1,1,3,3,182,4.81,0,2.45,1,0,0,0,0,0,1,0,0,5.07517381523383
4437,3,0,3,1,1,1,2,28,338,5,0,0.02,0,0,1,0,0,1,0,0,0,4.60517018598809
4436,4,0,27,1,1,1,2,3,202,4.92,0,0.3,0,1,0,0,0,1,0,0,0,5.52146091786225
4427,4,0,1,1,1,1.5,2,2,98,4.33,0,1.48,0,0,1,0,0,0,1,0,0,4.00733318523247
4436,4,0,27,1,1,1,4,3,164,5,0,0.08,0,1,0,0,0,1,0,0,0,6.2709884318583
4436,4,0,27,1,1,1,4,3,198,4.63,0,0.06,0,0,1,0,0,1,0,0,0,5.89440283426485
4425,2,0,2,1,1,1.5,5,30,154,4.86,0,0.36,1,0,0,0,0,1,0,0,0,5.07517381523383
4436,4,0,27,1,1,1,4,3,198,4,0,0.01,0,0,1,0,0,1,0,0,0,5.89440283426485
4418,4,0,1,1,0,1,5,30,66,4.91,0,0.96,1,0,0,0,0,1,0,0,0,5.01063529409626
4417,2,0,1,1,1,1,3,30,307,4.43,0,1.85,1,0,0,0,0,1,0,0,0,4.34380542185368
4416,0,0,1,1,1,1,3,30,0,4.67,0,0.04,1,0,0,0,0,1,0,0,0,5.01063529409626
4436,4,0,27,1,1,1,2,3,197,4.86,0,0.16,0,1,0,0,0,1,0,0,0,5.34710753071747
4627,4,1,3,1,1,1,4,30,354,4.45,0,1.81,1,0,0,0,0,1,0,0,0,4.49980967033027
5035,4,1,2,1,1,1,5,2,250,4.71,1,0.96,1,0,0,0,0,1,0,0,0,4.90527477843843
4394,4,1,2,1,1,1,4,1,65,4.83,1,1.97,1,0,0,0,0,1,0,0,0,4.61512051684126
4407,4,1,1,1,1,1.5,2,6,294,4.86,1,0.96,1,0,0,0,0,1,0,0,0,4.9416424226093
4392,2,0,1,1,1,1,2,7,21,5,0,0.12,1,0,0,0,0,1,0,0,0,4.9416424226093
4392,2,0,1,1,1,1,6,6,164,4.67,0,0.06,1,0,0,0,0,1,0,0,0,5.52146091786225
4387,0,0,1,1,1,1,2,30,185,4.81,0,0.14,1,0,0,0,0,0,1,0,0,5.01063529409626
4387,3,1,1,1,1,1,2,30,236,5,0,0.19,1,0,0,0,0,1,0,0,0,4.81218435537242
4385,3,1,1,1,1,1,3,30,6,4.94,0,0.83,1,0,0,0,0,1,0,0,0,4.86753445045558
4385,2,0,4,1,1,1,2,30,295,4.84,0,0.26,1,0,0,0,0,0,1,0,0,5.40267738187228
4383,0,0,1,1,1,2,4,60,0,4.9,0,0.28,0,0,1,0,0,1,0,0,0,5.16478597392351
4658,3,1,3,1,1,1,3,30,1,4.65,0,0.34,1,0,0,0,0,0,1,0,0,5.96357934361845
4411,3,0,1,1,1,1,2,10,192,4.78,0,1.36,1,0,0,0,0,1,0,0,0,5.92692602597041
4436,4,0,27,1,1,1,6,3,107,4.17,0,0.07,0,0,1,0,0,1,0,0,0,6.66568371778241
4617,4,0,0,1,1,1,3,1,154,4.71,0,2.08,1,0,0,0,0,1,0,0,0,5.92692602597041
4376,3,0,1,1,1,1,1,2,86,4.93,0,0.13,0,0,1,0,0,0,0,1,0,4.64439089914137
4375,1,0,2,1,1,1,2,30,60,4.86,0,1.13,0,0,1,0,0,0,1,0,0,4.38202663467388
4374,2,1,3,1,1,1.5,1,5,239,4.85,0,3.24,0,0,1,0,0,0,1,0,0,4.36944785246702
4374,4,1,1,1,1,1,4,2,6,4.89,0,0.89,1,0,0,0,0,1,0,0,0,5.01063529409626
4373,2,0,1,1,1,1,3,45,215,4.9,0,0.09,1,0,0,0,0,1,0,0,0,5.41610040220442
4526,3,1,3,1,1,1,3,3,56,4.75,0,2.34,1,0,0,0,0,1,0,0,0,5.16478597392351
3920,3,1,3,1,1,1,2,30,238,4.63,0,0.51,1,0,0,0,0,0,1,0,0,5.11198778835654
4366,0,0,1,1,1,1,2,30,0,5,0,0.01,0,0,1,0,0,0,1,0,0,4.49980967033027
4654,4,0,2,1,1,1,2,30,339,4.62,0,1.32,0,0,1,0,0,1,0,0,0,4.55387689160054
4366,0,0,1,1,1,1,1,30,0,0,0,0,0,0,1,0,0,1,0,0,0,4.49980967033027
4518,3,1,2,1,0,1,2,30,307,4.75,0,2.03,0,0,1,0,0,1,0,0,0,4.00733318523247
4365,3,0,3,1,1,2,6,364,362,4.5,0,0.26,1,0,0,0,0,1,0,0,0,5.45958551414416
4368,1,0,1,1,1,1,1,30,303,4.76,0,0.25,0,0,1,0,0,0,1,0,0,4.17438726989564
4363,3,0,2,1,1,1,2,5,8,4.58,0,0.28,1,0,0,0,0,0,0,1,0,4.44265125649032
4396,3,1,1,1,1,1,4,30,30,4.48,0,1.28,1,0,0,0,0,0,1,0,0,4.24849524204936
4011,3,1,1,1,1,1,2,30,217,4.8,0,0.67,1,0,0,0,0,1,0,0,0,4.55387689160054
4354,2,1,2,1,1,2,4,2,86,4.96,0,0.2,1,0,0,0,0,1,0,0,0,5.10594547390058
4353,4,1,1,1,0,1,3,3,257,4.69,1,1.59,1,0,0,0,0,0,1,0,0,4.62497281328427
4352,3,0,2,1,1,1,2,3,296,4.88,1,0.56,0,0,1,0,0,1,0,0,0,4.59511985013459
4350,4,0,5,1,1,2,9,2,207,4.31,1,3.71,1,0,0,0,0,0,1,0,0,6.12905021006055
4352,0,0,1,1,1,2,1,30,0,3.67,0,0.02,0,0,1,0,0,0,1,0,0,4.44265125649032
5050,0,0,1,1,1,0,4,30,126,5,0,0.02,1,0,0,0,0,1,0,0,0,5.56068163101553
4805,4,1,6,1,1,1,3,5,189,4.75,1,1.02,1,0,0,0,0,0,0,1,0,4.74493212836325
4344,3,0,1,1,1,1,1,10,2,4.85,0,0.86,0,0,1,0,0,0,1,0,0,4.21950770517611
4344,2,1,1,1,0,1,1,30,41,4.84,0,1.07,0,0,1,0,0,0,1,0,0,4.21950770517611
4344,0,0,1,1,1,1,2,5,0,4.58,0,0.29,1,0,0,0,0,1,0,0,0,5.52146091786225
4341,3,1,2,1,1,1,3,3,218,4.81,0,0.91,1,0,0,0,0,1,0,0,0,5.13579843705026
4341,0,0,1,1,1,1,1,5,0,4.78,0,0.08,1,0,0,0,0,0,1,0,0,4.71849887129509
4341,2,1,1,1,1,2.5,5,5,6,4.9,0,0.26,1,0,0,0,0,1,0,0,0,5.78382518232974
4337,2,0,1,1,1,1,2,30,106,4.36,0,0.61,1,0,0,0,0,1,0,0,0,4.24849524204936
4352,4,1,1,1,1,1,4,30,209,4.93,0,1.34,1,0,0,0,0,1,0,0,0,5.03043792139244
4335,4,0,1,1,1,0.5,4,30,189,4.68,0,0.6,1,0,0,0,0,0,1,0,0,5.22035582507832
4335,2,0,1,1,1,1,4,30,92,4.71,1,2,1,0,0,0,0,1,0,0,0,4.60517018598809
4335,3,0,0,1,1,2,5,1,332,4.41,0,0.31,1,0,0,0,0,1,0,0,0,6.80239476332431
4554,0,0,1,1,0,1,2,30,0,4.6,0,0.17,1,0,0,0,0,0,1,0,0,4.60517018598809
4353,4,1,4,1,1,1,5,6,196,4.89,0,0.2,1,0,0,0,0,0,1,0,0,6.21260609575152
4531,0,0,1,1,1,1,2,30,0,4.53,0,0.34,0,0,1,0,0,0,1,0,0,4.20469261939097
4327,0,0,1,1,0,1,4,30,0,4.88,0,0.14,1,0,0,0,0,0,1,0,0,5.16478597392351
4327,2,0,2,1,1,1,6,3,341,4.88,0,0.71,1,0,0,0,0,1,0,0,0,5.73657229747919
4326,4,1,4,1,1,1,4,3,166,4.74,0,2.15,1,0,0,0,0,0,1,0,0,5.18738580584075
4326,0,0,1,1,1,1,4,30,0,0,0,0,1,0,0,0,0,0,1,0,0,5.52146091786225
